4558,579144.589,3044196.987,1543.652,sh
4559,579143.185,3044194.19,1543.535,sh
4560,579146.554,3044192.275,1543.059,sh
4561,579148.686,3044195.137,1542.997,sh
4562,579152.239,3044193.892,1542.009,sh
4563,579152.021,3044191.161,1541.981,sh
4564,579155.278,3044190.645,1541.537,sh
4565,579156.384,3044193.33,1541.329,sh
4566,579159.949,3044193.295,1540.275,sh
4567,579160.247,3044190.101,1540.347,sh
4568,579163.124,3044190.233,1539.366,sh
4569,579163.888,3044193.464,1539.4,sh
4570,579166.936,3044193.371,1538.569,sh
4571,579166.63,3044190.176,1538.479,sh
4572,579170.02,3044189.204,1537.582,sh
4573,579172.019,3044192.156,1537.357,sh
4574,579175,3044190.244,1536.538,sh
4575,579173.641,3044187.35,1536.928,sh
4576,579176.564,3044185.58,1535.797,sh
4577,579178.725,3044187.852,1535.277,sh
4578,579152.493,3044118.471,1489.743,sh
4579,579149.352,3044120.397,1490.271,sh
4580,579136.481,3044221.706,1558.556,sh
4581,579134.121,3044222.139,1558.095,sh
4582,579131.68,3044222.868,1557.502,sh
4583,579129.331,3044223.895,1556.903,sh
4584,579126.575,3044225.18,1556.127,sh
4585,579135.481,3044224.68,1558.102,sh
4586,579138.04,3044224.435,1558.75,sh
4587,579141.063,3044224.284,1559.379,sh
4588,579144.093,3044224.027,1559.907,sh
4589,579141.216,3044221.278,1559.365,sh
4590,579143.641,3044221.015,1559.901,sh
4591,579145.967,3044220.656,1560.359,sh
4592,579146.823,3044223.757,1560.492,sh
4593,579149.475,3044223.323,1561.03,sh
4594,579149.791,3044220.437,1561.102,sh
4595,579152.135,3044220.083,1561.663,sh
4596,579152.789,3044222.689,1561.796,sh
4597,579155.543,3044222.323,1562.494,sh
4598,579156.1,3044220.017,1562.554,sh
4599,579158.266,3044219.889,1563.159,sh
4600,579158.804,3044221.954,1562.948,sh
4601,579160.887,3044221.384,1563.852,sh
4602,579160.989,3044219.266,1563.887,sh
4603,579163.333,3044218.836,1564.398,sh
4604,579164.121,3044221.148,1564.788,sh
4605,579165.442,3044221.721,1565.158,sh
4606,579166.58,3044217.758,1565.114,sh
4607,579169.287,3044217.373,1565.49,sh
4608,579170.843,3044219.394,1565.711,sh
4609,579170.927,3044221.984,1565.752,sh
4610,579170.422,3044224.351,1565.952,sh
4611,579165.379,3044224.437,1565.828,sh
4612,579086.208,3044355.365,1554.071,sh
4613,579089.236,3044354.384,1553.994,sh
4614,579090.755,3044358.719,1553.621,sh
4615,579087.263,3044359.502,1553.441,sh
4616,579090.114,3044364.818,1552.945,sh
4617,579093.155,3044362.661,1553.158,sh
4618,579096.602,3044366.787,1552.306,sh
4619,579093.833,3044369.281,1552.303,sh
4620,579098.739,3044377.364,1552.325,sh
4621,579102.132,3044376.681,1552.87,sh
4622,579103.947,3044383.958,1552.302,sh
4623,579100.742,3044384.944,1552.003,sh
4624,579104.853,3044394.833,1551.659,sh
4625,579108.162,3044393.834,1551.898,sh
4626,579108.998,3044400.015,1552.02,sh
4627,579101.743,3044405.176,1550.82,sh
4628,579103.549,3044408.042,1550.854,sh
4629,579096.894,3044412.795,1549.419,sh
4630,579094.26,3044410.591,1549.32,sh
4631,579090.866,3044415.559,1548.465,sh
4632,579092.964,3044422.234,1547.817,sh
4633,579088.523,3044419.569,1547.839,sh
4634,579091.401,3044430.301,1547.181,sh
4635,579094.796,3044429.671,1547.18,sh
4636,579096.628,3044439.992,1546.648,sh
4637,579099.534,3044438.521,1546.68,sh
4638,579103.042,3044452.687,1545.875,sh
4639,579106.366,3044451.554,1545.782,sh
4640,579104.053,3044465.697,1544.871,sh
4641,579107.348,3044467.495,1545.188,sh
4642,579098.933,3044478.929,1546.12,sh
4643,579101.564,3044480.727,1546.395,sh
4644,579085.08,3044489.433,1547.574,sh
4645,579086.703,3044492.367,1547.552,sh
4646,579082.196,3044500.222,1547.065,sh
4647,579085.755,3044496.086,1547.161,sh
4648,579091.672,3044499.716,1545.269,sh
4649,579089.416,3044502.549,1545.251,sh
4650,579105.235,3044500.82,1543.807,sh
4651,579103.709,3044504.285,1543.675,sh
4652,579116.25,3044503.537,1544.503,sh
4653,579114.302,3044507.846,1544.537,sh
